  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 19:26:10.467  
  Recording stop:   ;  2024-08-23 19:47:15.017  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:10.468  ;  ---                 ;  12,041             ;  0,15090             ;  0,67687            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:13.470  ;  ---                 ;  12,045             ;  0,15372             ;  0,67671            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:16.472  ;  ---                 ;  12,045             ;  0,15315             ;  0,67919            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:19.474  ;  ---                 ;  12,046             ;  0,15782             ;  0,68217            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:22.475  ;  59,96               ;  12,049             ;  0,15411             ;  0,68367            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:25.477  ;  59,96               ;  12,046             ;  0,15149             ;  0,68395            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:28.479  ;  59,96               ;  12,053             ;  0,15087             ;  0,68158            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:31.480  ;  59,96               ;  12,055             ;  0,15071             ;  0,68238            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:34.482  ;  59,97               ;  12,057             ;  0,15084             ;  0,68305            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:37.483  ;  59,97               ;  12,054             ;  0,14935             ;  0,68173            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:40.484  ;  59,97               ;  12,052             ;  0,14979             ;  0,68220            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:43.485  ;  59,97               ;  12,053             ;  0,14920             ;  0,68334            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:46.486  ;  59,97               ;  12,058             ;  0,15021             ;  0,68367            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:49.487  ;  59,97               ;  12,063             ;  0,15168             ;  0,68389            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:52.489  ;  59,98               ;  12,063             ;  0,15179             ;  0,68250            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:55.491  ;  59,98               ;  12,071             ;  0,15059             ;  0,68141            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:26:58.492  ;  59,98               ;  12,070             ;  0,15226             ;  0,67915            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:01.494  ;  59,97               ;  12,068             ;  0,15444             ;  0,67832            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:04.494  ;  59,97               ;  12,070             ;  0,15311             ;  0,67674            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:07.496  ;  59,97               ;  12,072             ;  0,15466             ;  0,67623            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:10.497  ;  59,97               ;  12,077             ;  0,15706             ;  0,68109            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:13.498  ;  59,98               ;  12,077             ;  0,15585             ;  0,68208            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:16.499  ;  59,98               ;  12,076             ;  0,15308             ;  0,68204            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:19.500  ;  59,98               ;  12,073             ;  0,15230             ;  0,68118            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:22.501  ;  59,98               ;  12,072             ;  0,15125             ;  0,68115            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:25.501  ;  59,98               ;  12,073             ;  0,15160             ;  0,68326            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  19:27:28.503  ;  59,98               ;  12,071             ;  0,15422             ;  0,68240            
