  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-08-23 20:24:49.634  
  Recording stop:   ;  2024-08-23 20:45:54.070  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:24:49.635  ;  ---                 ;  12,032             ;  0,13481             ;  0,65489            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:24:52.634  ;  ---                 ;  12,033             ;  0,13365             ;  0,65448            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:24:55.634  ;  ---                 ;  12,033             ;  0,13286             ;  0,65403            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:24:58.634  ;  ---                 ;  12,031             ;  0,13336             ;  0,65369            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:01.634  ;  60,01               ;  12,029             ;  0,13311             ;  0,65356            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:04.635  ;  60,01               ;  12,030             ;  0,13195             ;  0,65473            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:07.636  ;  60,01               ;  12,030             ;  0,13182             ;  0,65489            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:10.637  ;  60,00               ;  12,031             ;  0,13372             ;  0,65769            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:13.638  ;  59,98               ;  12,029             ;  0,13312             ;  0,65763            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:16.639  ;  59,98               ;  12,031             ;  0,13372             ;  0,65787            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:19.639  ;  59,98               ;  12,033             ;  0,13414             ;  0,65876            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:22.638  ;  59,99               ;  12,036             ;  0,13429             ;  0,65700            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:25.637  ;  59,99               ;  12,034             ;  0,13474             ;  0,65703            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:28.635  ;  59,99               ;  12,033             ;  0,13389             ;  0,65856            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:31.634  ;  60,01               ;  12,033             ;  0,13311             ;  0,65759            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:34.633  ;  60,02               ;  12,032             ;  0,13307             ;  0,65800            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:37.633  ;  60,02               ;  12,029             ;  0,13378             ;  0,65599            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:40.633  ;  60,02               ;  12,026             ;  0,13233             ;  0,65483            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:43.633  ;  60,01               ;  12,025             ;  0,13302             ;  0,65336            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:46.634  ;  60,01               ;  12,032             ;  0,13490             ;  0,65492            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:49.635  ;  60,01               ;  12,032             ;  0,13522             ;  0,65586            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:52.636  ;  59,99               ;  12,034             ;  0,13613             ;  0,65295            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:55.636  ;  59,99               ;  12,031             ;  0,13609             ;  0,65381            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:25:58.637  ;  59,99               ;  12,034             ;  0,13806             ;  0,65238            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:26:01.638  ;  59,98               ;  12,036             ;  0,13522             ;  0,65432            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-08-23  ;  20:26:04.639  ;  59,98               ;  12,036             ;  0,13394             ;  0,65452            
