,ID,Fecha,Hora,Sensor_1,Sensor_2,Sensor_3,Sensor_4
0,1,08/23/2024, 19:26:21,33.75,27.50,27.75,24.25
1,2,08/23/2024, 19:26:25,33.75,27.56,27.75,24.25
2,3,08/23/2024, 19:26:28,33.75,27.56,27.75,24.25
3,4,08/23/2024, 19:26:31,33.81,27.56,27.75,24.25
4,5,08/23/2024, 19:26:34,33.81,27.56,27.75,24.25
5,6,08/23/2024, 19:26:37,33.81,27.56,27.75,24.25
6,7,08/23/2024, 19:26:40,33.81,27.56,27.81,24.25
7,8,08/23/2024, 19:26:43,33.81,27.56,27.81,24.25
8,9,08/23/2024, 19:26:46,33.88,27.56,27.81,24.25
9,10,08/23/2024, 19:26:49,33.88,27.56,27.81,24.25
10,11,08/23/2024, 19:26:52,33.88,27.56,27.75,24.25
11,12,08/23/2024, 19:26:55,33.81,27.56,27.81,24.25
12,13,08/23/2024, 19:26:58,33.88,27.50,27.75,24.25
13,14,08/23/2024, 19:27:01,33.88,27.56,27.81,24.25
14,15,08/23/2024, 19:27:04,33.94,27.56,27.75,24.25
15,16,08/23/2024, 19:27:07,33.94,27.50,27.75,24.25
16,17,08/23/2024, 19:27:10,33.94,27.56,27.75,24.19
17,18,08/23/2024, 19:27:13,33.94,27.56,27.75,24.25
18,19,08/23/2024, 19:27:16,33.94,27.62,27.75,24.25
19,20,08/23/2024, 19:27:19,33.94,27.62,27.69,24.25
20,21,08/23/2024, 19:27:22,33.94,27.62,27.75,24.25
21,22,08/23/2024, 19:27:25,33.94,27.62,27.69,24.19
22,23,08/23/2024, 19:27:28,33.94,27.69,27.69,24.25
23,24,08/23/2024, 19:27:31,33.94,27.62,27.69,24.25
24,25,08/23/2024, 19:27:34,33.94,27.69,27.69,24.25
25,26,08/23/2024, 19:27:37,33.94,27.69,27.69,24.25
26,27,08/23/2024, 19:27:40,33.94,27.69,27.62,24.25
27,28,08/23/2024, 19:27:43,33.94,27.69,27.69,24.25
28,29,08/23/2024, 19:27:46,34.00,27.69,27.69,24.31
29,30,08/23/2024, 19:27:49,34.00,27.69,27.69,24.25
30,31,08/23/2024, 19:27:52,34.00,27.69,27.69,24.25
31,32,08/23/2024, 19:27:55,34.00,27.69,27.69,24.25
32,33,08/23/2024, 19:27:58,34.00,27.69,27.69,24.25
33,34,08/23/2024, 19:28:01,34.00,27.69,27.69,24.25
34,35,08/23/2024, 19:28:04,34.00,27.69,27.69,24.25
35,36,08/23/2024, 19:28:07,34.00,27.69,27.69,24.25
36,37,08/23/2024, 19:28:10,34.06,27.69,27.69,24.25
37,38,08/23/2024, 19:28:13,34.06,27.69,27.75,24.25
38,39,08/23/2024, 19:28:16,34.06,27.69,27.69,24.25
39,40,08/23/2024, 19:28:19,34.06,27.75,27.75,24.25
40,41,08/23/2024, 19:28:22,34.06,27.75,27.69,24.25
41,42,08/23/2024, 19:28:25,34.06,27.75,27.75,24.25
42,43,08/23/2024, 19:28:28,34.13,27.75,27.75,24.25
43,44,08/23/2024, 19:28:31,34.13,27.75,27.75,24.25
44,45,08/23/2024, 19:28:34,34.13,27.75,27.81,24.25
45,46,08/23/2024, 19:28:37,34.13,27.75,27.75,24.25
46,47,08/23/2024, 19:28:40,34.19,27.75,27.81,24.25
47,48,08/23/2024, 19:28:43,34.13,27.75,27.75,24.25
48,49,08/23/2024, 19:28:46,34.13,27.75,27.81,24.25
49,50,08/23/2024, 19:28:49,34.13,27.75,27.81,24.25
50,51,08/23/2024, 19:28:52,34.19,27.75,27.81,24.19
51,52,08/23/2024, 19:28:55,34.19,27.75,27.81,24.25
52,53,08/23/2024, 19:28:58,34.19,27.69,27.81,24.25
53,54,08/23/2024, 19:29:01,34.19,27.75,27.81,24.25
54,55,08/23/2024, 19:29:04,34.25,27.75,27.81,24.25
55,56,08/23/2024, 19:29:07,34.19,27.75,27.81,24.25
56,57,08/23/2024, 19:29:10,34.25,27.75,27.87,24.19
57,58,08/23/2024, 19:29:13,34.25,27.81,27.87,24.19
58,59,08/23/2024, 19:29:16,34.25,27.81,27.87,24.25
59,60,08/23/2024, 19:29:19,34.25,27.81,27.87,24.25
60,61,08/23/2024, 19:29:22,34.25,27.81,27.94,24.25
61,62,08/23/2024, 19:29:25,34.31,27.87,27.94,24.19
62,63,08/23/2024, 19:29:28,34.31,27.81,27.94,24.19
63,64,08/23/2024, 19:29:31,34.31,27.81,27.94,24.25
64,65,08/23/2024, 19:29:34,34.38,27.81,27.94,24.25
65,66,08/23/2024, 19:29:37,34.31,27.81,27.87,24.25
66,67,08/23/2024, 19:29:40,34.31,27.81,27.94,24.19
67,68,08/23/2024, 19:29:43,34.38,27.81,27.94,24.25
68,69,08/23/2024, 19:29:46,34.38,27.81,27.94,24.19
69,70,08/23/2024, 19:29:49,34.38,27.81,27.94,24.19
70,71,08/23/2024, 19:29:52,34.38,27.81,28.00,24.25
71,72,08/23/2024, 19:29:55,34.38,27.81,27.94,24.19
72,73,08/23/2024, 19:29:58,34.38,27.81,28.00,24.25
73,74,08/23/2024, 19:30:01,34.38,27.81,28.00,24.25
74,75,08/23/2024, 19:30:04,34.38,27.87,28.00,24.19
75,76,08/23/2024, 19:30:07,34.38,27.81,28.00,24.19
76,77,08/23/2024, 19:30:10,34.38,27.81,28.00,24.25
77,78,08/23/2024, 19:30:13,34.38,27.81,28.00,24.19
78,79,08/23/2024, 19:30:16,34.38,27.81,28.00,24.25
79,80,08/23/2024, 19:30:19,34.44,27.81,28.00,24.19
80,81,08/23/2024, 19:30:22,34.44,27.87,28.00,24.19
81,82,08/23/2024, 19:30:25,34.44,27.81,28.00,24.19
82,83,08/23/2024, 19:30:28,34.44,27.81,28.00,24.19
83,84,08/23/2024, 19:30:31,34.44,27.87,28.06,24.25
84,85,08/23/2024, 19:30:34,34.50,27.87,28.00,24.19
85,86,08/23/2024, 19:30:37,34.44,27.87,28.06,24.25
86,87,08/23/2024, 19:30:40,34.50,27.87,28.06,24.25
87,88,08/23/2024, 19:30:43,34.50,27.87,28.00,24.19
88,89,08/23/2024, 19:30:46,34.56,27.94,28.06,24.19
89,90,08/23/2024, 19:30:49,34.56,27.94,28.00,24.19
90,91,08/23/2024, 19:30:53,34.56,27.94,28.00,24.19
91,92,08/23/2024, 19:30:56,34.56,27.94,28.06,24.19
92,93,08/23/2024, 19:30:59,34.56,27.94,28.06,24.19
93,94,08/23/2024, 19:31:02,34.63,27.94,28.06,24.19
94,95,08/23/2024, 19:31:05,34.63,27.94,28.06,24.19
95,96,08/23/2024, 19:31:08,34.63,27.94,28.06,24.19
96,97,08/23/2024, 19:31:11,34.69,28.00,28.06,24.19
97,98,08/23/2024, 19:31:14,34.63,27.94,28.06,24.19
98,99,08/23/2024, 19:31:17,34.69,28.00,28.06,24.19
99,100,08/23/2024, 19:31:20,34.69,28.00,28.06,24.19
100,101,08/23/2024, 19:31:23,34.69,28.00,28.06,24.19
101,102,08/23/2024, 19:31:26,34.69,28.00,28.06,24.19
102,103,08/23/2024, 19:31:29,34.69,28.06,28.12,24.12
103,104,08/23/2024, 19:31:32,34.75,28.06,28.06,24.19
104,105,08/23/2024, 19:31:35,34.69,28.06,28.12,24.12
105,106,08/23/2024, 19:31:38,34.69,28.00,28.12,24.19
106,107,08/23/2024, 19:31:41,34.75,28.06,28.06,24.19
107,108,08/23/2024, 19:31:44,34.75,28.06,28.12,24.19
108,109,08/23/2024, 19:31:47,34.75,28.06,28.12,24.19
109,110,08/23/2024, 19:31:50,34.75,28.06,28.19,24.12
110,111,08/23/2024, 19:31:53,34.81,28.06,28.19,24.19
111,112,08/23/2024, 19:31:56,34.81,28.06,28.19,24.19
112,113,08/23/2024, 19:31:59,34.81,28.12,28.19,24.19
113,114,08/23/2024, 19:32:02,34.81,28.06,28.19,24.19
114,115,08/23/2024, 19:32:05,34.81,28.12,28.19,24.12
115,116,08/23/2024, 19:32:08,34.81,28.06,28.19,24.19
116,117,08/23/2024, 19:32:11,34.81,28.12,28.19,24.19
117,118,08/23/2024, 19:32:14,34.81,28.12,28.19,24.25
118,119,08/23/2024, 19:32:17,34.81,28.06,28.19,24.19
119,120,08/23/2024, 19:32:20,34.88,28.06,28.19,24.19
120,121,08/23/2024, 19:32:23,34.81,28.12,28.19,24.19
121,122,08/23/2024, 19:32:26,34.81,28.12,28.19,24.19
122,123,08/23/2024, 19:32:29,34.88,28.19,28.19,24.12
123,124,08/23/2024, 19:32:32,34.88,28.12,28.19,24.19
124,125,08/23/2024, 19:32:35,34.88,28.19,28.12,24.19
125,126,08/23/2024, 19:32:38,34.81,28.19,28.12,24.19
126,127,08/23/2024, 19:32:41,34.88,28.19,28.12,24.19
127,128,08/23/2024, 19:32:44,34.88,28.19,28.12,24.19
128,129,08/23/2024, 19:32:47,34.88,28.19,28.19,24.19
129,130,08/23/2024, 19:32:50,34.88,28.19,28.19,24.19
130,131,08/23/2024, 19:32:53,34.94,28.19,28.19,24.19
131,132,08/23/2024, 19:32:56,34.94,28.19,28.19,24.25
132,133,08/23/2024, 19:32:59,34.94,28.19,28.19,24.19
133,134,08/23/2024, 19:33:02,34.94,28.19,28.19,24.19
134,135,08/23/2024, 19:33:05,34.94,28.12,28.25,24.19
135,136,08/23/2024, 19:33:08,34.94,28.19,28.19,24.19
136,137,08/23/2024, 19:33:11,35.00,28.19,28.19,24.12
137,138,08/23/2024, 19:33:14,35.00,28.19,28.19,24.19
138,139,08/23/2024, 19:33:17,35.00,28.19,28.25,24.19
139,140,08/23/2024, 19:33:20,35.00,28.19,28.19,24.19
140,141,08/23/2024, 19:33:23,35.00,28.25,28.25,24.19
141,142,08/23/2024, 19:33:26,35.00,28.19,28.25,24.19
142,143,08/23/2024, 19:33:29,35.00,28.12,28.25,24.25
143,144,08/23/2024, 19:33:32,35.00,28.19,28.25,24.19
144,145,08/23/2024, 19:33:35,35.00,28.12,28.31,24.12
145,146,08/23/2024, 19:33:38,35.06,28.19,28.25,24.19
146,147,08/23/2024, 19:33:41,35.06,28.12,28.25,24.25
147,148,08/23/2024, 19:33:44,35.06,28.19,28.25,24.12
148,149,08/23/2024, 19:33:47,35.06,28.12,28.25,24.19
149,150,08/23/2024, 19:33:50,35.06,28.12,28.25,24.19
150,151,08/23/2024, 19:33:53,35.06,28.19,28.19,24.19
151,152,08/23/2024, 19:33:56,35.06,28.19,28.19,24.19
152,153,08/23/2024, 19:33:59,35.06,28.19,28.25,24.19
153,154,08/23/2024, 19:34:02,35.06,28.19,28.19,24.19
154,155,08/23/2024, 19:34:05,35.06,28.12,28.19,24.19
155,156,08/23/2024, 19:34:08,35.06,28.19,28.19,24.12
156,157,08/23/2024, 19:34:11,35.06,28.19,28.19,24.19
157,158,08/23/2024, 19:34:14,35.13,28.19,28.19,24.19
158,159,08/23/2024, 19:34:17,35.13,28.19,28.19,24.25
159,160,08/23/2024, 19:34:20,35.06,28.12,28.19,24.19
160,161,08/23/2024, 19:34:23,35.06,28.12,28.25,24.19
