,ID,Fecha,Hora,Sensor_1,Sensor_2,Sensor_3,Sensor_4
0,1,08/23/2024, 20:25:00,36.13,28.94,29.69,24.12
1,2,08/23/2024, 20:25:04,36.13,28.94,29.69,24.12
2,3,08/23/2024, 20:25:07,36.13,28.94,29.69,24.12
3,4,08/23/2024, 20:25:10,36.19,28.94,29.69,24.12
4,5,08/23/2024, 20:25:13,36.19,28.94,29.69,24.12
5,6,08/23/2024, 20:25:16,36.19,28.87,29.69,24.12
6,7,08/23/2024, 20:25:19,36.19,28.94,29.69,24.12
7,8,08/23/2024, 20:25:22,36.19,28.94,29.69,24.12
8,9,08/23/2024, 20:25:25,36.19,28.94,29.69,24.12
9,10,08/23/2024, 20:25:28,36.25,28.94,29.69,24.19
10,11,08/23/2024, 20:25:31,36.25,28.94,29.69,24.12
11,12,08/23/2024, 20:25:34,36.25,28.94,29.69,24.12
12,13,08/23/2024, 20:25:37,36.25,28.94,29.69,24.19
13,14,08/23/2024, 20:25:40,36.25,28.94,29.69,24.19
14,15,08/23/2024, 20:25:43,36.25,29.00,29.69,24.19
15,16,08/23/2024, 20:25:46,36.25,28.94,29.69,24.12
16,17,08/23/2024, 20:25:49,36.31,28.94,29.69,24.12
17,18,08/23/2024, 20:25:52,36.31,28.94,29.69,24.19
18,19,08/23/2024, 20:25:55,36.25,28.94,29.69,24.12
19,20,08/23/2024, 20:25:58,36.31,28.87,29.69,24.12
20,21,08/23/2024, 20:26:01,36.31,28.87,29.69,24.12
21,22,08/23/2024, 20:26:04,36.31,28.87,29.69,24.19
22,23,08/23/2024, 20:26:07,36.31,28.87,29.69,24.12
23,24,08/23/2024, 20:26:10,36.38,28.81,29.69,24.19
24,25,08/23/2024, 20:26:13,36.31,28.81,29.69,24.19
25,26,08/23/2024, 20:26:16,36.31,28.81,29.69,24.19
26,27,08/23/2024, 20:26:19,36.38,28.81,29.69,24.12
27,28,08/23/2024, 20:26:22,36.31,28.81,29.69,24.12
28,29,08/23/2024, 20:26:25,36.38,28.81,29.75,24.12
29,30,08/23/2024, 20:26:28,36.38,28.81,29.69,24.12
30,31,08/23/2024, 20:26:31,36.38,28.81,29.69,24.19
31,32,08/23/2024, 20:26:34,36.38,28.81,29.69,24.12
32,33,08/23/2024, 20:26:37,36.44,28.81,29.69,24.19
33,34,08/23/2024, 20:26:40,36.38,28.81,29.69,24.12
34,35,08/23/2024, 20:26:43,36.38,28.81,29.69,24.19
35,36,08/23/2024, 20:26:46,36.44,28.75,29.69,24.12
36,37,08/23/2024, 20:26:49,36.38,28.75,29.69,24.19
37,38,08/23/2024, 20:26:52,36.44,28.75,29.69,24.19
38,39,08/23/2024, 20:26:55,36.44,28.75,29.69,24.19
39,40,08/23/2024, 20:26:58,36.44,28.75,29.69,24.19
40,41,08/23/2024, 20:27:01,36.44,28.75,29.69,24.19
41,42,08/23/2024, 20:27:04,36.44,28.75,29.69,24.19
42,43,08/23/2024, 20:27:07,36.50,28.75,29.69,24.12
43,44,08/23/2024, 20:27:10,36.44,28.75,29.69,24.19
44,45,08/23/2024, 20:27:13,36.44,28.75,29.69,24.19
45,46,08/23/2024, 20:27:16,36.50,28.75,29.69,24.19
46,47,08/23/2024, 20:27:19,36.50,28.75,29.69,24.19
47,48,08/23/2024, 20:27:22,36.50,28.81,29.69,24.19
48,49,08/23/2024, 20:27:25,36.56,28.81,29.69,24.12
49,50,08/23/2024, 20:27:28,36.50,28.81,29.75,24.19
50,51,08/23/2024, 20:27:32,36.56,28.81,29.69,24.19
51,52,08/23/2024, 20:27:35,36.56,28.81,29.69,24.19
52,53,08/23/2024, 20:27:38,36.56,28.81,29.69,24.19
53,54,08/23/2024, 20:27:41,36.56,28.81,29.69,24.19
54,55,08/23/2024, 20:27:44,36.56,28.75,29.69,24.19
55,56,08/23/2024, 20:27:47,36.63,28.81,29.69,24.19
56,57,08/23/2024, 20:27:50,36.63,28.81,29.69,24.12
57,58,08/23/2024, 20:27:53,36.63,28.81,29.75,24.12
58,59,08/23/2024, 20:27:56,36.63,28.75,29.75,24.19
59,60,08/23/2024, 20:27:59,36.63,28.75,29.75,24.19
60,61,08/23/2024, 20:28:02,36.63,28.75,29.69,24.12
61,62,08/23/2024, 20:28:05,36.69,28.75,29.69,24.19
62,63,08/23/2024, 20:28:08,36.69,28.75,29.69,24.19
63,64,08/23/2024, 20:28:11,36.63,28.69,29.69,24.19
64,65,08/23/2024, 20:28:14,36.63,28.75,29.69,24.12
65,66,08/23/2024, 20:28:17,36.69,28.69,29.69,24.19
66,67,08/23/2024, 20:28:20,36.69,28.69,29.75,24.19
67,68,08/23/2024, 20:28:23,36.69,28.75,29.69,24.19
68,69,08/23/2024, 20:28:26,36.69,28.75,29.69,24.12
69,70,08/23/2024, 20:28:29,36.69,28.75,29.69,24.19
70,71,08/23/2024, 20:28:32,36.69,28.69,29.75,24.19
71,72,08/23/2024, 20:28:35,36.75,28.75,29.75,24.19
72,73,08/23/2024, 20:28:38,36.69,28.75,29.75,24.19
73,74,08/23/2024, 20:28:41,36.75,28.75,29.69,24.19
74,75,08/23/2024, 20:28:44,36.75,28.75,29.75,24.19
75,76,08/23/2024, 20:28:47,36.75,28.69,29.69,24.19
76,77,08/23/2024, 20:28:50,36.75,28.75,29.75,24.19
77,78,08/23/2024, 20:28:53,36.75,28.69,29.69,24.19
78,79,08/23/2024, 20:28:56,36.75,28.69,29.69,24.19
79,80,08/23/2024, 20:28:59,36.75,28.69,29.75,24.19
80,81,08/23/2024, 20:29:02,36.81,28.75,29.75,24.19
81,82,08/23/2024, 20:29:05,36.81,28.75,29.75,24.19
82,83,08/23/2024, 20:29:08,36.81,28.75,29.75,24.19
83,84,08/23/2024, 20:29:11,36.81,28.75,29.75,24.19
84,85,08/23/2024, 20:29:14,36.81,28.69,29.69,24.19
85,86,08/23/2024, 20:29:17,36.81,28.75,29.75,24.19
86,87,08/23/2024, 20:29:20,36.88,28.69,29.75,24.19
