  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-06-21 20:06:27.953  
  Recording stop:   ;  2024-06-21 20:26:32.970  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  U N-PE avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:27.954  ;  ---                 ;  12,329             ;  25,953               ;  0,77831             ;  0,26631            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:30.955  ;  ---                 ;  12,329             ;  25,952               ;  0,77830             ;  0,26716            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:33.957  ;  ---                 ;  12,329             ;  25,949               ;  0,77748             ;  0,26800            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:36.958  ;  ---                 ;  12,319             ;  25,928               ;  0,77625             ;  0,26678            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:39.960  ;  ---                 ;  12,325             ;  25,940               ;  0,77833             ;  0,26628            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:42.961  ;  59,97               ;  12,326             ;  25,945               ;  0,77771             ;  0,26682            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:45.962  ;  59,97               ;  12,328             ;  25,953               ;  0,77707             ;  0,26616            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:48.963  ;  59,97               ;  12,326             ;  25,951               ;  0,77746             ;  0,26566            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:51.964  ;  59,97               ;  12,327             ;  25,955               ;  0,77839             ;  0,26546            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-06-21  ;  20:06:54.965  ;  59,98               ;  12,326             ;  25,954               ;  0,77661             ;  0,26598            
