  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-11 19:59:02.586  
  Recording stop:   ;  2024-10-11 20:13:59.975  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *N avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:02.587  ;  ---                 ;  12.433             ;  0.58957             ;  0.32104            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:05.586  ;  ---                 ;  12.434             ;  0.58925             ;  0.32134            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:08.585  ;  ---                 ;  12.429             ;  0.58856             ;  0.32231            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:11.583  ;  60.02               ;  12.434             ;  0.58933             ;  0.32647            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:14.581  ;  60.02               ;  12.435             ;  0.58836             ;  0.32512            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:17.580  ;  60.02               ;  12.431             ;  0.58815             ;  0.32616            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:20.579  ;  60.02               ;  12.432             ;  0.58890             ;  0.34778            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:23.578  ;  60.03               ;  12.431             ;  0.59155             ;  0.34826            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:26.578  ;  60.03               ;  12.430             ;  0.58954             ;  0.34806            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:29.578  ;  60.03               ;  12.428             ;  0.58824             ;  0.34710            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:32.579  ;  60.01               ;  12.429             ;  0.58792             ;  0.34717            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:35.580  ;  60.00               ;  12.429             ;  0.59015             ;  0.34030            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:38.582  ;  60.00               ;  12.429             ;  0.58997             ;  0.32498            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:41.583  ;  59.99               ;  12.432             ;  0.58832             ;  0.32640            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:44.584  ;  59.97               ;  12.430             ;  0.58825             ;  0.32539            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:47.585  ;  59.97               ;  12.430             ;  0.58837             ;  0.32498            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:50.585  ;  59.97               ;  12.431             ;  0.58905             ;  0.32407            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:53.587  ;  59.98               ;  12.429             ;  0.59040             ;  0.32473            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:56.588  ;  59.98               ;  12.425             ;  0.59086             ;  0.32249            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  19:59:59.590  ;  59.98               ;  12.429             ;  0.59084             ;  0.32326            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:02.402  ;  59.97               ;  12.428             ;  0.59033             ;  0.32314            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:03.002  ;  59.97               ;  12.429             ;  0.59029             ;  0.32350            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:06.004  ;  59.97               ;  12.431             ;  0.59107             ;  0.32404            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:09.004  ;  59.97               ;  12.430             ;  0.58895             ;  0.32443            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:12.004  ;  59.97               ;  12.431             ;  0.58924             ;  0.32429            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:15.003  ;  59.98               ;  12.434             ;  0.58907             ;  0.32459            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:18.001  ;  59.98               ;  12.426             ;  0.58982             ;  0.32334            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:21.000  ;  59.99               ;  12.427             ;  0.58910             ;  0.32341            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:23.999  ;  60.02               ;  12.430             ;  0.58738             ;  0.32416            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:26.998  ;  60.02               ;  12.425             ;  0.58820             ;  0.32264            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:29.997  ;  60.02               ;  12.424             ;  0.58676             ;  0.31918            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:32.997  ;  60.02               ;  12.420             ;  0.58635             ;  0.32044            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:35.996  ;  60.02               ;  12.422             ;  0.58763             ;  0.32025            
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-11  ;  20:00:38.996  ;  60.02               ;  12.422             ;  0.58909             ;  0.32097            
