,ID,Fecha,Hora,Sensor_1,Sensor_2,Sensor_3,Sensor_4
0,1,10/11/2024, 19:59:14,32.88,29.69,27.12,23.06
1,2,10/11/2024, 19:59:18,32.88,29.75,27.19,23.00
2,3,10/11/2024, 19:59:21,32.88,29.75,27.19,23.06
3,4,10/11/2024, 19:59:24,32.88,29.75,27.25,23.06
4,5,10/11/2024, 19:59:27,32.88,29.75,27.19,23.00
5,6,10/11/2024, 19:59:30,32.88,29.75,27.19,23.06
6,7,10/11/2024, 19:59:33,32.88,29.75,27.25,23.00
7,8,10/11/2024, 19:59:36,32.88,29.69,27.25,23.06
8,9,10/11/2024, 19:59:39,32.88,29.69,27.19,23.06
9,10,10/11/2024, 19:59:42,32.88,29.75,27.19,23.06
10,11,10/11/2024, 19:59:45,32.88,29.69,27.19,23.06
11,12,10/11/2024, 19:59:48,32.88,29.75,27.19,23.06
12,13,10/11/2024, 19:59:51,32.88,29.75,27.25,23.06
13,14,10/11/2024, 19:59:54,32.88,29.69,27.19,23.00
14,15,10/11/2024, 19:59:57,32.88,29.75,27.25,23.06
15,16,10/11/2024, 20:00:00,32.88,29.69,27.25,23.06
16,17,10/11/2024, 20:00:03,32.88,29.75,27.25,23.06
17,18,10/11/2024, 20:00:06,32.94,29.75,27.25,23.06
18,19,10/11/2024, 20:00:09,32.94,29.69,27.25,23.06
19,20,10/11/2024, 20:00:12,32.94,29.75,27.31,23.06
20,21,10/11/2024, 20:00:15,32.94,29.69,27.31,23.06
21,22,10/11/2024, 20:00:18,32.94,29.69,27.31,23.06
22,23,10/11/2024, 20:00:21,32.94,29.69,27.31,23.06
23,24,10/11/2024, 20:00:24,32.94,29.75,27.31,23.06
24,25,10/11/2024, 20:00:27,32.94,29.75,27.31,23.06
25,26,10/11/2024, 20:00:30,32.94,29.69,27.31,23.06
26,27,10/11/2024, 20:00:33,33.00,29.69,27.37,23.06
27,28,10/11/2024, 20:00:36,33.00,29.69,27.31,23.00
28,29,10/11/2024, 20:00:39,33.00,29.69,27.37,23.06
29,30,10/11/2024, 20:00:42,33.00,29.69,27.37,23.00
30,31,10/11/2024, 20:00:45,33.00,29.69,27.37,23.06
31,32,10/11/2024, 20:00:48,33.00,29.69,27.37,23.06
32,33,10/11/2024, 20:00:51,33.00,29.69,27.37,23.06
33,34,10/11/2024, 20:00:54,33.06,29.69,27.37,23.06
34,35,10/11/2024, 20:00:57,33.00,29.69,27.37,23.06
35,36,10/11/2024, 20:01:00,33.06,29.69,27.37,23.00
36,37,10/11/2024, 20:01:03,33.06,29.69,27.37,23.06
37,38,10/11/2024, 20:01:06,33.13,29.69,27.37,23.06
38,39,10/11/2024, 20:01:09,33.06,29.69,27.37,23.06
39,40,10/11/2024, 20:01:12,33.06,29.62,27.31,23.00
40,41,10/11/2024, 20:01:15,33.13,29.69,27.37,23.06
41,42,10/11/2024, 20:01:18,33.19,29.69,27.31,23.00
42,43,10/11/2024, 20:01:21,33.13,29.69,27.37,23.06
43,44,10/11/2024, 20:01:24,33.19,29.62,27.37,23.00
44,45,10/11/2024, 20:01:27,33.19,29.69,27.37,23.00
45,46,10/11/2024, 20:01:30,33.19,29.62,27.37,23.00
46,47,10/11/2024, 20:01:33,33.25,29.69,27.37,23.00
47,48,10/11/2024, 20:01:36,33.25,29.62,27.37,23.06
48,49,10/11/2024, 20:01:39,33.25,29.62,27.37,23.00
49,50,10/11/2024, 20:01:42,33.25,29.62,27.37,23.00
50,51,10/11/2024, 20:01:45,33.25,29.62,27.31,23.00
51,52,10/11/2024, 20:01:48,33.31,29.56,27.37,23.06
52,53,10/11/2024, 20:01:51,33.31,29.56,27.37,23.06
