  Analyzer:  ;  PQM-710 (BR0070)  
  Recording start:   ;  2024-10-22 19:07:04.787  
  Recording stop:   ;  2024-10-22 19:22:02.953  
  Time:  ;  (UTC-6)  
  Flag:  ;
  E  - event  ;
  Ef - event (Fast stream data)  ;
  P  - PLL no synchronization  ;
  Pf - PLL no synchronization (Fast stream data)  ;
  G  - GPS no synchronization  ;
  Gf - GPS no synchronization (Fast stream data)  ;
  T  - time resynchronization  ;
  Tf - time resynchronization (Fast stream data)  ;
  A  - A/D overflow  ;
  Af - A/D overflow (Fast stream data)  ;

;;'E / Ef';'P / Pf';'G / Gf';'T / Tf';'A / Af';  Date        ;  Time (UTC-6)  ;  f L1 avg. 3 s [Hz]  ;  U L1 avg. 3 s [V]  ;  I *L1 avg. 3 s [A]  ;  I *L2 avg. 3 s [A]  
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:04.787  ;  ---                 ;  12.449             ;  0.65854             ;  0.35045             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:07.787  ;  ---                 ;  12.452             ;  0.66079             ;  0.35180             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:10.786  ;  ---                 ;  12.456             ;  0.66420             ;  0.35199             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:13.785  ;  ---                 ;  12.454             ;  0.66241             ;  0.34938             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:16.783  ;  ---                 ;  12.454             ;  0.66149             ;  0.35050             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:19.782  ;  ---                 ;  12.448             ;  0.66010             ;  0.35116             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:22.780  ;  60.03               ;  12.450             ;  0.65871             ;  0.35085             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:25.779  ;  60.03               ;  12.451             ;  0.65976             ;  0.35090             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:28.779  ;  60.03               ;  12.448             ;  0.65903             ;  0.35499             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:31.779  ;  60.02               ;  12.450             ;  0.65914             ;  0.35223             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:34.779  ;  60.02               ;  12.450             ;  0.65990             ;  0.35235             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:37.778  ;  60.02               ;  12.456             ;  0.65813             ;  0.35249             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:40.778  ;  60.01               ;  12.455             ;  0.65782             ;  0.35045             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:43.777  ;  60.00               ;  12.450             ;  0.65564             ;  0.35143             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:46.776  ;  60.00               ;  12.448             ;  0.65557             ;  0.34961             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:49.776  ;  60.00               ;  12.450             ;  0.65799             ;  0.35243             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:52.775  ;  60.01               ;  12.459             ;  0.65955             ;  0.35060             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:55.775  ;  60.01               ;  12.461             ;  0.65923             ;  0.35095             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:07:58.775  ;  60.01               ;  12.459             ;  0.66105             ;  0.35220             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:01.776  ;  60.01               ;  12.458             ;  0.65943             ;  0.35100             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:04.775  ;  60.00               ;  12.459             ;  0.65991             ;  0.35113             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:07.776  ;  60.00               ;  12.459             ;  0.65901             ;  0.35123             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:10.776  ;  60.00               ;  12.454             ;  0.65732             ;  0.34965             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:13.776  ;  60.00               ;  12.457             ;  0.66030             ;  0.35032             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:16.776  ;  60.00               ;  12.455             ;  0.66051             ;  0.34873             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:19.775  ;  60.00               ;  12.448             ;  0.65961             ;  0.35110             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:22.774  ;  60.00               ;  12.447             ;  0.66026             ;  0.35077             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:25.774  ;  60.00               ;  12.448             ;  0.66083             ;  0.35049             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:28.773  ;  60.00               ;  12.454             ;  0.66147             ;  0.35067             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:31.772  ;  60.01               ;  12.457             ;  0.66123             ;  0.34965             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:34.771  ;  60.01               ;  12.459             ;  0.66319             ;  0.35000             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:37.769  ;  60.01               ;  12.464             ;  0.66477             ;  0.35144             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:40.767  ;  60.02               ;  12.468             ;  0.66341             ;  0.34980             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:43.766  ;  60.03               ;  12.467             ;  0.66277             ;  0.35172             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:46.765  ;  60.03               ;  12.463             ;  0.66222             ;  0.35284             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:49.765  ;  60.03               ;  12.466             ;  0.66148             ;  0.35248             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:52.765  ;  60.02               ;  12.461             ;  0.66262             ;  0.35225             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:55.765  ;  60.02               ;  12.462             ;  0.66057             ;  0.35254             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:08:58.766  ;  60.02               ;  12.465             ;  0.66043             ;  0.35337             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:01.766  ;  60.00               ;  12.466             ;  0.66181             ;  0.35330             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:04.765  ;  59.99               ;  12.467             ;  0.66235             ;  0.35241             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:07.765  ;  59.99               ;  12.465             ;  0.66242             ;  0.35112             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:10.764  ;  60.00               ;  12.465             ;  0.66436             ;  0.35257             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:13.764  ;  60.01               ;  12.467             ;  0.66325             ;  0.35464             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:16.763  ;  60.01               ;  12.469             ;  0.66254             ;  0.35448             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:19.762  ;  60.01               ;  12.466             ;  0.65938             ;  0.35322             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:22.762  ;  60.01               ;  12.466             ;  0.66209             ;  0.35566             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:25.762  ;  60.01               ;  12.466             ;  0.66294             ;  0.35302             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:28.764  ;  60.01               ;  12.468             ;  0.66361             ;  0.35626             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:31.766  ;  60.00               ;  12.467             ;  0.66305             ;  0.35567             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:34.768  ;  59.99               ;  12.471             ;  0.66479             ;  0.35533             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:37.769  ;  59.99               ;  12.470             ;  0.66424             ;  0.35363             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:40.770  ;  59.98               ;  12.473             ;  0.66394             ;  0.35564             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:43.771  ;  59.97               ;  12.468             ;  0.66156             ;  0.35424             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:46.772  ;  59.97               ;  12.467             ;  0.66274             ;  0.35312             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:49.774  ;  59.97               ;  12.469             ;  0.66337             ;  0.35531             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:52.776  ;  59.97               ;  12.468             ;  0.66445             ;  0.35235             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:55.778  ;  59.97               ;  12.468             ;  0.66450             ;  0.35150             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:09:58.780  ;  59.97               ;  12.458             ;  0.66072             ;  0.35210             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:01.600  ;  59.97               ;  12.471             ;  0.65877             ;  0.35288             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:03.001  ;  59.97               ;  12.471             ;  0.66007             ;  0.35208             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:06.001  ;  59.97               ;  12.472             ;  0.66438             ;  0.35409             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:09.001  ;  59.97               ;  12.476             ;  0.66442             ;  0.35135             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:12.001  ;  59.98               ;  12.478             ;  0.66321             ;  0.35449             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:15.000  ;  59.99               ;  12.480             ;  0.66338             ;  0.35394             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:17.999  ;  59.99               ;  12.477             ;  0.66230             ;  0.35382             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:20.998  ;  60.00               ;  12.478             ;  0.66322             ;  0.35455             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:23.997  ;  60.02               ;  12.471             ;  0.66371             ;  0.35317             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:26.996  ;  60.02               ;  12.473             ;  0.66520             ;  0.35342             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:29.995  ;  60.02               ;  12.476             ;  0.66212             ;  0.35691             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:32.994  ;  60.02               ;  12.472             ;  0.66177             ;  0.35301             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:35.993  ;  60.02               ;  12.470             ;  0.66195             ;  0.35149             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:38.993  ;  60.02               ;  12.472             ;  0.66124             ;  0.35116             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:41.993  ;  60.01               ;  12.472             ;  0.66163             ;  0.35334             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:44.993  ;  60.01               ;  12.467             ;  0.66088             ;  0.35201             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:47.994  ;  60.01               ;  12.469             ;  0.66020             ;  0.35159             
;;  'E '  ;        ;  'G '  ;        ;        ;  2024-10-22  ;  19:10:50.995  ;  60.00               ;  12.458             ;  0.66201             ;  0.35271             
