,ID,Fecha,Hora,Sensor_1,Sensor_2,Sensor_3,Sensor_4
0,1,06/21/2024, 19:20:56,25.94,25.00,24.75,25.06
1,2,06/21/2024, 19:21:00,25.94,25.06,24.75,25.06
2,3,06/21/2024, 19:21:03,25.94,25.06,24.75,25.06
3,4,06/21/2024, 19:21:06,26.00,25.12,24.75,25.06
4,5,06/21/2024, 19:21:09,26.00,25.06,24.75,25.00
5,6,06/21/2024, 19:21:12,26.00,25.06,24.75,25.06
6,7,06/21/2024, 19:21:15,26.00,25.06,24.75,25.06
7,8,06/21/2024, 19:21:18,26.00,25.12,24.75,25.06
8,9,06/21/2024, 19:21:21,26.06,25.06,24.75,25.00
9,10,06/21/2024, 19:21:24,26.06,25.12,24.75,25.06
10,11,06/21/2024, 19:21:27,26.06,25.06,24.75,25.00
11,12,06/21/2024, 19:21:30,26.06,25.12,24.75,25.06
12,13,06/21/2024, 19:21:33,26.06,25.12,24.75,25.06
13,14,06/21/2024, 19:21:36,26.06,25.12,24.75,25.06
14,15,06/21/2024, 19:21:39,26.12,25.06,24.75,25.06
15,16,06/21/2024, 19:21:42,26.12,25.00,24.75,25.00
16,17,06/21/2024, 19:21:45,26.12,25.06,24.75,25.00
17,18,06/21/2024, 19:21:48,26.12,25.12,24.75,25.00
18,19,06/21/2024, 19:21:51,26.12,25.12,24.75,25.00
19,20,06/21/2024, 19:21:54,26.12,25.06,24.75,25.00
20,21,06/21/2024, 19:21:57,26.12,25.06,24.75,25.00
21,22,06/21/2024, 19:22:00,26.12,25.12,24.75,25.00
22,23,06/21/2024, 19:22:03,26.19,25.06,24.75,25.00
23,24,06/21/2024, 19:22:06,26.25,25.06,24.75,25.00
24,25,06/21/2024, 19:22:09,26.25,25.06,24.75,25.00
25,26,06/21/2024, 19:22:12,26.25,25.06,24.75,25.00
26,27,06/21/2024, 19:22:15,26.25,25.06,24.75,25.00
27,28,06/21/2024, 19:22:18,26.25,25.12,24.75,25.00
28,29,06/21/2024, 19:22:21,26.25,25.12,24.75,25.00
29,30,06/21/2024, 19:22:24,26.25,25.12,24.81,25.00
30,31,06/21/2024, 19:22:27,26.31,25.12,24.75,25.00
31,32,06/21/2024, 19:22:30,26.31,25.06,24.75,25.00
32,33,06/21/2024, 19:22:33,26.31,25.12,24.75,25.00
33,34,06/21/2024, 19:22:36,26.37,25.12,24.75,24.94
34,35,06/21/2024, 19:22:39,26.37,25.12,24.75,24.94
35,36,06/21/2024, 19:22:42,26.44,25.12,24.75,24.94
36,37,06/21/2024, 19:22:45,26.37,25.12,24.75,24.94
37,38,06/21/2024, 19:22:48,26.37,25.12,24.75,24.94
38,39,06/21/2024, 19:22:51,26.37,25.12,24.75,24.94
39,40,06/21/2024, 19:22:54,26.44,25.12,24.69,25.00
40,41,06/21/2024, 19:22:57,26.44,25.19,24.75,25.00
41,42,06/21/2024, 19:23:00,26.44,25.12,24.75,25.00
42,43,06/21/2024, 19:23:03,26.44,25.19,24.75,24.94
43,44,06/21/2024, 19:23:06,26.50,25.12,24.75,24.94
44,45,06/21/2024, 19:23:09,26.50,25.19,24.75,24.94
45,46,06/21/2024, 19:23:12,26.50,25.19,24.75,24.94
46,47,06/21/2024, 19:23:15,26.56,25.19,24.75,24.94
47,48,06/21/2024, 19:23:18,26.56,25.19,24.75,24.94
48,49,06/21/2024, 19:23:21,26.56,25.19,24.75,24.94
49,50,06/21/2024, 19:23:24,26.62,25.19,24.75,24.94
50,51,06/21/2024, 19:23:27,26.62,25.19,24.75,24.94
51,52,06/21/2024, 19:23:30,26.62,25.19,24.75,24.94
52,53,06/21/2024, 19:23:33,26.62,25.12,24.75,24.94
53,54,06/21/2024, 19:23:36,26.62,25.19,24.75,24.94
54,55,06/21/2024, 19:23:39,26.69,25.25,24.81,24.94
55,56,06/21/2024, 19:23:42,26.69,25.19,24.75,24.87
56,57,06/21/2024, 19:23:45,26.69,25.19,24.75,24.94
57,58,06/21/2024, 19:23:48,26.69,25.25,24.81,24.94
58,59,06/21/2024, 19:23:51,26.69,25.19,24.81,24.94
59,60,06/21/2024, 19:23:54,26.69,25.25,24.81,24.94
60,61,06/21/2024, 19:23:57,26.75,25.19,24.81,24.94
61,62,06/21/2024, 19:24:00,26.81,25.19,24.81,24.94
62,63,06/21/2024, 19:24:03,26.75,25.12,24.81,24.87
63,64,06/21/2024, 19:24:06,26.81,25.25,24.81,24.87
64,65,06/21/2024, 19:24:09,26.81,25.19,24.81,24.87
65,66,06/21/2024, 19:24:12,26.81,25.19,24.81,24.87
66,67,06/21/2024, 19:24:15,26.87,25.19,24.81,24.94
67,68,06/21/2024, 19:24:18,26.87,25.25,24.81,24.94
68,69,06/21/2024, 19:24:21,26.94,25.19,24.81,24.94
69,70,06/21/2024, 19:24:24,26.94,25.25,24.81,24.87
70,71,06/21/2024, 19:24:27,26.94,25.25,24.81,24.87
71,72,06/21/2024, 19:24:30,26.94,25.25,24.81,24.94
72,73,06/21/2024, 19:24:33,26.94,25.25,24.81,24.87
73,74,06/21/2024, 19:24:36,26.94,25.25,24.81,24.87
74,75,06/21/2024, 19:24:39,26.94,25.25,24.81,24.87
75,76,06/21/2024, 19:24:42,26.94,25.25,24.81,24.87
76,77,06/21/2024, 19:24:45,27.00,25.25,24.81,24.87
77,78,06/21/2024, 19:24:48,27.00,25.25,24.81,24.87
78,79,06/21/2024, 19:24:51,27.00,25.31,24.87,24.87
79,80,06/21/2024, 19:24:54,27.06,25.25,24.81,24.94
80,81,06/21/2024, 19:24:57,27.06,25.31,24.87,24.87
81,82,06/21/2024, 19:25:00,27.06,25.25,24.81,24.87
82,83,06/21/2024, 19:25:03,27.06,25.25,24.81,24.87
83,84,06/21/2024, 19:25:06,27.06,25.31,24.81,24.87
84,85,06/21/2024, 19:25:09,27.12,25.25,24.87,24.87
85,86,06/21/2024, 19:25:12,27.12,25.25,24.87,24.87
86,87,06/21/2024, 19:25:15,27.12,25.25,24.87,24.87
87,88,06/21/2024, 19:25:18,27.12,25.31,24.87,24.87
88,89,06/21/2024, 19:25:21,27.19,25.31,24.81,24.87
89,90,06/21/2024, 19:25:24,27.19,25.25,24.81,24.87
90,91,06/21/2024, 19:25:27,27.19,25.25,24.81,24.81
91,92,06/21/2024, 19:25:30,27.19,25.31,24.87,24.87
92,93,06/21/2024, 19:25:33,27.25,25.25,24.87,24.87
93,94,06/21/2024, 19:25:36,27.25,25.25,24.87,24.87
94,95,06/21/2024, 19:25:39,27.31,25.31,24.87,24.87
95,96,06/21/2024, 19:25:43,27.25,25.25,24.87,24.87
96,97,06/21/2024, 19:25:46,27.25,25.25,24.87,24.87
97,98,06/21/2024, 19:25:49,27.31,25.25,24.87,24.81
98,99,06/21/2024, 19:25:52,27.31,25.31,24.87,24.87
99,100,06/21/2024, 19:25:55,27.31,25.31,24.87,24.87
100,101,06/21/2024, 19:25:58,27.37,25.31,24.87,24.81
101,102,06/21/2024, 19:26:01,27.37,25.25,24.94,24.81
102,103,06/21/2024, 19:26:04,27.37,25.25,24.87,24.87
103,104,06/21/2024, 19:26:07,27.37,25.31,24.94,24.87
104,105,06/21/2024, 19:26:10,27.37,25.31,24.94,24.87
105,106,06/21/2024, 19:26:13,27.44,25.31,24.94,24.87
