,ID,Fecha,Hora,Sensor_1,Sensor_2,Sensor_3,Sensor_4
0,1,06/21/2024, 20:06:32,25.19,25.19,25.62,24.81
1,2,06/21/2024, 20:06:34,25.12,25.00,24.75,24.75
2,3,06/21/2024, 20:06:36,25.12,24.94,24.75,24.75
3,4,06/21/2024, 20:06:39,25.12,25.00,24.75,24.75
4,5,06/21/2024, 20:06:42,25.12,25.00,24.75,24.75
5,6,06/21/2024, 20:06:45,25.12,24.94,24.75,24.75
6,7,06/21/2024, 20:06:48,25.19,24.94,24.75,24.81
7,8,06/21/2024, 20:06:51,25.12,24.94,24.81,24.75
8,9,06/21/2024, 20:06:54,25.12,24.94,24.75,24.75
9,10,06/21/2024, 20:06:57,25.19,24.94,24.75,24.75
10,11,06/21/2024, 20:07:00,25.12,24.94,24.81,24.75
11,12,06/21/2024, 20:07:03,25.19,24.94,24.75,24.75
12,13,06/21/2024, 20:07:06,25.19,25.00,24.75,24.75
13,14,06/21/2024, 20:07:09,25.19,24.94,24.75,24.75
14,15,06/21/2024, 20:07:12,25.25,24.94,24.75,24.75
15,16,06/21/2024, 20:07:15,25.25,25.00,24.75,24.75
16,17,06/21/2024, 20:07:18,25.25,24.94,24.75,24.75
17,18,06/21/2024, 20:07:21,25.25,24.94,24.75,24.75
18,19,06/21/2024, 20:07:24,25.25,24.94,24.75,24.75
19,20,06/21/2024, 20:07:27,25.25,24.94,24.75,24.75
20,21,06/21/2024, 20:07:30,25.25,24.94,24.75,24.69
21,22,06/21/2024, 20:07:33,25.31,24.94,24.75,24.69
22,23,06/21/2024, 20:07:36,25.25,24.94,24.75,24.69
23,24,06/21/2024, 20:07:39,25.31,24.94,24.75,24.69
24,25,06/21/2024, 20:07:42,25.37,25.00,24.75,24.69
25,26,06/21/2024, 20:07:45,25.37,24.94,24.75,24.75
26,27,06/21/2024, 20:07:48,25.37,24.94,24.75,24.69
27,28,06/21/2024, 20:07:51,25.37,24.94,24.75,24.75
28,29,06/21/2024, 20:07:54,25.37,24.94,24.75,24.75
29,30,06/21/2024, 20:07:57,25.44,24.94,24.75,24.75
30,31,06/21/2024, 20:08:00,25.44,25.00,24.75,24.75
31,32,06/21/2024, 20:08:03,25.44,25.00,24.75,24.75
32,33,06/21/2024, 20:08:07,25.50,24.94,24.75,24.69
33,34,06/21/2024, 20:08:10,25.50,24.94,24.69,24.75
34,35,06/21/2024, 20:08:13,25.50,24.94,24.75,24.69
35,36,06/21/2024, 20:08:16,25.50,25.00,24.75,24.69
36,37,06/21/2024, 20:08:19,25.56,24.94,24.75,24.69
37,38,06/21/2024, 20:08:22,25.56,24.94,24.75,24.69
38,39,06/21/2024, 20:08:25,25.56,25.00,24.75,24.69
39,40,06/21/2024, 20:08:28,25.56,25.00,24.75,24.69
40,41,06/21/2024, 20:08:31,25.62,24.94,24.81,24.69
41,42,06/21/2024, 20:08:34,25.62,25.00,24.75,24.69
42,43,06/21/2024, 20:08:37,25.62,25.00,24.81,24.69
43,44,06/21/2024, 20:08:40,25.69,24.94,24.81,24.69
44,45,06/21/2024, 20:08:43,25.69,25.00,24.81,24.69
45,46,06/21/2024, 20:08:46,25.69,25.00,24.81,24.69
46,47,06/21/2024, 20:08:49,25.75,25.00,24.81,24.69
47,48,06/21/2024, 20:08:52,25.75,25.00,24.75,24.62
48,49,06/21/2024, 20:08:55,25.75,25.00,24.81,24.69
49,50,06/21/2024, 20:08:58,25.81,25.00,24.81,24.75
50,51,06/21/2024, 20:09:01,25.81,25.00,24.81,24.69
51,52,06/21/2024, 20:09:04,25.81,25.00,24.75,24.69
52,53,06/21/2024, 20:09:07,25.87,25.00,24.81,24.69
53,54,06/21/2024, 20:09:10,25.87,25.00,24.81,24.69
54,55,06/21/2024, 20:09:13,25.94,25.00,24.81,24.75
