"Índice";"Fecha";"Hora";"Función";"Leyendo";"Unidad"
"1";"7/6/24";"20:20:29";"CA V";"119,9";"V"
"2";"7/6/24";"20:20:30";"CA V";"119,8";"V"
"3";"7/6/24";"20:20:31";"CA V";"119,8";"V"
"4";"7/6/24";"20:20:32";"CA V";"119,8";"V"
"5";"7/6/24";"20:20:33";"CA V";"119,9";"V"
"6";"7/6/24";"20:20:34";"CA V";"119,9";"V"
"7";"7/6/24";"20:20:35";"CA V";"120,0";"V"
"8";"7/6/24";"20:20:36";"CA V";"120,0";"V"
"9";"7/6/24";"20:20:37";"CA V";"120,0";"V"
"10";"7/6/24";"20:20:38";"CA V";"120,0";"V"
"11";"7/6/24";"20:20:39";"CA V";"120,0";"V"
"12";"7/6/24";"20:20:40";"CA V";"120,0";"V"
"13";"7/6/24";"20:20:41";"CA V";"120,0";"V"
"14";"7/6/24";"20:20:42";"CA V";"120,0";"V"
"15";"7/6/24";"20:20:43";"CA V";"120,0";"V"
"16";"7/6/24";"20:20:44";"CA V";"120,0";"V"
"17";"7/6/24";"20:20:45";"CA V";"120,0";"V"
"18";"7/6/24";"20:20:46";"CA V";"120,1";"V"
"19";"7/6/24";"20:20:47";"CA V";"120,1";"V"
"20";"7/6/24";"20:20:48";"CA V";"120,1";"V"
"21";"7/6/24";"20:20:49";"CA V";"120,1";"V"
"22";"7/6/24";"20:20:50";"CA V";"120,0";"V"
"23";"7/6/24";"20:20:51";"CA V";"120,1";"V"
"24";"7/6/24";"20:20:52";"CA V";"120,1";"V"
"25";"7/6/24";"20:20:53";"CA V";"120,1";"V"
"26";"7/6/24";"20:20:54";"CA V";"120,1";"V"
"27";"7/6/24";"20:20:55";"CA V";"120,1";"V"
"28";"7/6/24";"20:20:56";"CA V";"120,1";"V"
"29";"7/6/24";"20:20:57";"CA V";"120,1";"V"
"30";"7/6/24";"20:20:58";"CA V";"120,1";"V"
"31";"7/6/24";"20:20:59";"CA V";"120,0";"V"
"32";"7/6/24";"20:21:00";"CA V";"120,0";"V"
"33";"7/6/24";"20:21:01";"CA V";"120,0";"V"
"34";"7/6/24";"20:21:02";"CA V";"120,0";"V"
"35";"7/6/24";"20:21:03";"CA V";"120,0";"V"
"36";"7/6/24";"20:21:04";"CA V";"120,0";"V"
"37";"7/6/24";"20:21:05";"CA V";"120,0";"V"
"38";"7/6/24";"20:21:06";"CA V";"120,0";"V"
"39";"7/6/24";"20:21:07";"CA V";"120,0";"V"
"40";"7/6/24";"20:21:08";"CA V";"120,0";"V"
"41";"7/6/24";"20:21:09";"CA V";"120,0";"V"
"42";"7/6/24";"20:21:10";"CA V";"120,0";"V"
"43";"7/6/24";"20:21:11";"CA V";"120,0";"V"
"44";"7/6/24";"20:21:12";"CA V";"120,0";"V"
"45";"7/6/24";"20:21:13";"CA V";"120,0";"V"
"46";"7/6/24";"20:21:14";"CA V";"120,0";"V"
"47";"7/6/24";"20:21:15";"CA V";"120,0";"V"
"48";"7/6/24";"20:21:16";"CA V";"120,0";"V"
"49";"7/6/24";"20:21:17";"CA V";"120,0";"V"
"50";"7/6/24";"20:21:18";"CA V";"120,0";"V"
"51";"7/6/24";"20:21:19";"CA V";"120,0";"V"
"52";"7/6/24";"20:21:20";"CA V";"120,0";"V"
"53";"7/6/24";"20:21:21";"CA V";"120,0";"V"
"54";"7/6/24";"20:21:22";"CA V";"120,0";"V"
"55";"7/6/24";"20:21:23";"CA V";"120,0";"V"
"56";"7/6/24";"20:21:24";"CA V";"120,0";"V"
"57";"7/6/24";"20:21:25";"CA V";"120,0";"V"
"58";"7/6/24";"20:21:26";"CA V";"120,0";"V"
"59";"7/6/24";"20:21:27";"CA V";"120,0";"V"
"60";"7/6/24";"20:21:28";"CA V";"120,0";"V"
"61";"7/6/24";"20:21:29";"CA V";"120,0";"V"
"62";"7/6/24";"20:21:30";"CA V";"120,0";"V"
"63";"7/6/24";"20:21:31";"CA V";"120,0";"V"
"64";"7/6/24";"20:21:32";"CA V";"120,0";"V"
"65";"7/6/24";"20:21:33";"CA V";"120,0";"V"
"66";"7/6/24";"20:21:34";"CA V";"120,0";"V"
"67";"7/6/24";"20:21:35";"CA V";"120,0";"V"
"68";"7/6/24";"20:21:36";"CA V";"120,0";"V"
"69";"7/6/24";"20:21:37";"CA V";"120,0";"V"
"70";"7/6/24";"20:21:38";"CA V";"120,0";"V"
"71";"7/6/24";"20:21:39";"CA V";"120,0";"V"
"72";"7/6/24";"20:21:40";"CA V";"120,0";"V"
"73";"7/6/24";"20:21:41";"CA V";"120,0";"V"
"74";"7/6/24";"20:21:42";"CA V";"120,0";"V"
"75";"7/6/24";"20:21:43";"CA V";"120,0";"V"
"76";"7/6/24";"20:21:44";"CA V";"120,0";"V"
"77";"7/6/24";"20:21:45";"CA V";"120,0";"V"
"78";"7/6/24";"20:21:46";"CA V";"120,0";"V"
"79";"7/6/24";"20:21:47";"CA V";"120,0";"V"
"80";"7/6/24";"20:21:48";"CA V";"120,0";"V"
"81";"7/6/24";"20:21:49";"CA V";"120,0";"V"
"82";"7/6/24";"20:21:50";"CA V";"120,0";"V"
"83";"7/6/24";"20:21:51";"CA V";"120,0";"V"
"84";"7/6/24";"20:21:52";"CA V";"120,0";"V"
