"","Frecuencia","TVSec(V)","ISec(A)","Iprim(A)","TNucleoSup","TDevPrim","TDevSec","Tambiente","V_In","Estado"
"1",59.97,12.177,0.67805,0.22093,25.94,25.06,24.75,25.06,119.9,"Bueno"
"2",59.97,12.175,0.67936,0.22088,25.94,25.06,24.75,25.06,119.9,"Bueno"
"3",59.97,12.173,0.67971,0.22321,26,25.12,24.75,25.06,119.9,"Bueno"
"4",59.97,12.174,0.67927,0.22209,26,25.06,24.75,25,119.9,"Bueno"
"5",59.96,12.173,0.67994,0.22335,26,25.06,24.75,25.06,119.9,"Bueno"
"6",59.96,12.178,0.67949,0.223,26,25.06,24.75,25.06,119.9,"Bueno"
"7",59.96,12.174,0.67941,0.22198,26,25.12,24.75,25.06,119.9,"Bueno"
"8",59.97,12.177,0.6801,0.22304,26.06,25.06,24.75,25,119.9,"Bueno"
"9",59.98,12.176,0.67911,0.2229,26.06,25.12,24.75,25.06,119.9,"Bueno"
"10",59.98,12.178,0.6787,0.22147,26.06,25.06,24.75,25,119.9,"Bueno"
"11",59.98,12.177,0.67846,0.22325,26.06,25.12,24.75,25.06,119.9,"Bueno"
"12",59.98,12.176,0.67873,0.22138,26.06,25.12,24.75,25.06,119.9,"Bueno"
"13",59.98,12.174,0.67893,0.22163,26.06,25.12,24.75,25.06,119.9,"Bueno"
"14",59.98,12.173,0.67927,0.22114,26.12,25.06,24.75,25.06,119.9,"Bueno"
"15",59.97,12.175,0.67808,0.22237,26.12,25,24.75,25,119.9,"Bueno"
"16",59.97,12.175,0.67916,0.22248,26.12,25.06,24.75,25,119.9,"Bueno"
"17",59.97,12.177,0.67881,0.22116,26.12,25.12,24.75,25,119.9,"Bueno"
"18",59.98,12.183,0.67898,0.22057,26.12,25.12,24.75,25,119.9,"Bueno"
"19",59.99,12.183,0.67906,0.22117,26.12,25.06,24.75,25,119.9,"Bueno"
"20",59.99,12.182,0.67931,0.22132,26.12,25.06,24.75,25,119.9,"Bueno"
"21",59.99,12.183,0.68022,0.22008,26.12,25.12,24.75,25,119.9,"Bueno"
"22",60.03,12.181,0.67859,0.22085,26.19,25.06,24.75,25,119.9,"Bueno"
"23",60.03,12.18,0.68023,0.22083,26.25,25.06,24.75,25,119.9,"Bueno"
"24",60.03,12.177,0.67994,0.22082,26.25,25.06,24.75,25,119.9,"Bueno"
"25",60.03,12.178,0.67968,0.22026,26.25,25.06,24.75,25,119.9,"Bueno"
"26",60.03,12.176,0.6812,0.2217,26.25,25.06,24.75,25,119.9,"Bueno"
"27",60.03,12.174,0.67954,0.22211,26.25,25.12,24.75,25,119.9,"Bueno"
"28",60.03,12.178,0.67865,0.2219,26.25,25.12,24.75,25,119.9,"Bueno"
"29",60.03,12.178,0.67907,0.21947,26.25,25.12,24.81,25,119.9,"Bueno"
"30",60.03,12.177,0.67976,0.22223,26.31,25.12,24.75,25,119.9,"Bueno"
"31",60.03,12.178,0.67835,0.22165,26.31,25.06,24.75,25,119.9,"Bueno"
"32",60.02,12.179,0.67859,0.22103,26.31,25.12,24.75,25,119.9,"Bueno"
"33",60.02,12.179,0.6776,0.22207,26.37,25.12,24.75,24.94,119.9,"Bueno"
"34",60.02,12.181,0.67947,0.22241,26.37,25.12,24.75,24.94,119.9,"Bueno"
"35",60.03,12.166,0.67705,0.2212,26.44,25.12,24.75,24.94,119.9,"Bueno"
"36",60.03,12.176,0.67768,0.2221,26.37,25.12,24.75,24.94,119.9,"Bueno"
"37",60.03,12.175,0.67826,0.22281,26.37,25.12,24.75,24.94,119.9,"Bueno"
"38",60.04,12.176,0.67722,0.22184,26.37,25.12,24.75,24.94,119.9,"Bueno"
"39",60.04,12.172,0.67774,0.22012,26.44,25.12,24.69,25,119.9,"Bueno"
"40",60.04,12.172,0.67722,0.22198,26.44,25.19,24.75,25,119.9,"Bueno"
"41",60.04,12.171,0.67764,0.22295,26.44,25.12,24.75,25,119.9,"Bueno"
"42",60.02,12.168,0.67835,0.22066,26.44,25.19,24.75,24.94,119.9,"Bueno"
"43",60.02,12.169,0.67956,0.22088,26.5,25.12,24.75,24.94,119.9,"Bueno"
"44",60.02,12.172,0.67817,0.22322,26.5,25.19,24.75,24.94,119.9,"Bueno"
"45",60,12.17,0.67944,0.22284,26.5,25.19,24.75,24.94,119.9,"Bueno"
"46",59.99,12.171,0.67987,0.22168,26.56,25.19,24.75,24.94,119.9,"Bueno"
"47",59.99,12.17,0.67807,0.22339,26.56,25.19,24.75,24.94,119.9,"Bueno"
"48",59.99,12.174,0.67674,0.22323,26.56,25.19,24.75,24.94,119.9,"Bueno"
"49",59.99,12.172,0.67426,0.22277,26.62,25.19,24.75,24.94,119.9,"Bueno"
"50",59.99,12.175,0.67415,0.22378,26.62,25.19,24.75,24.94,119.9,"Bueno"
"51",59.99,12.176,0.67634,0.22315,26.62,25.19,24.75,24.94,119.9,"Bueno"
"52",60.01,12.172,0.67895,0.22191,26.62,25.12,24.75,24.94,119.9,"Bueno"
"53",60.01,12.176,0.67858,0.22409,26.62,25.19,24.75,24.94,119.9,"Bueno"
"54",60.01,12.176,0.67814,0.22278,26.69,25.25,24.81,24.94,119.9,"Bueno"
"55",60.02,12.173,0.67937,0.22236,26.69,25.19,24.75,24.87,119.9,"Bueno"
"56",60.02,12.174,0.6783,0.22326,26.69,25.19,24.75,24.94,119.9,"Bueno"
"57",60.02,12.172,0.67835,0.2227,26.69,25.25,24.81,24.94,119.9,"Bueno"
"58",60.02,12.174,0.67893,0.22238,26.69,25.19,24.81,24.94,119.9,"Bueno"
"59",60.02,12.173,0.67823,0.22274,26.69,25.25,24.81,24.94,119.9,"Bueno"
"60",60.02,12.175,0.67941,0.22299,26.75,25.19,24.81,24.94,119.9,"Bueno"
"61",60.02,12.171,0.67764,0.22297,26.81,25.19,24.81,24.94,119.9,"Bueno"
"62",60.02,12.175,0.6796,0.22262,26.75,25.12,24.81,24.87,119.9,"Bueno"
"63",60.02,12.181,0.6786,0.22382,26.81,25.25,24.81,24.87,119.9,"Bueno"
"64",60.02,12.179,0.67804,0.22387,26.81,25.19,24.81,24.87,119.9,"Bueno"
"65",60.03,12.178,0.67679,0.22232,26.81,25.19,24.81,24.87,119.9,"Bueno"
"66",60.03,12.179,0.67568,0.22269,26.87,25.19,24.81,24.94,119.9,"Bueno"
"67",60.03,12.181,0.6776,0.22104,26.87,25.25,24.81,24.94,119.9,"Bueno"
"68",60.03,12.182,0.68068,0.22317,26.94,25.19,24.81,24.94,119.9,"Bueno"
"69",60.04,12.181,0.67981,0.22226,26.94,25.25,24.81,24.87,119.9,"Bueno"
"70",60.04,12.18,0.67982,0.22242,26.94,25.25,24.81,24.87,119.9,"Bueno"
"71",60.04,12.182,0.6775,0.22228,26.94,25.25,24.81,24.94,119.9,"Bueno"
"72",60.03,12.181,0.67729,0.22204,26.94,25.25,24.81,24.87,119.9,"Bueno"
"73",60.03,12.184,0.67916,0.22388,26.94,25.25,24.81,24.87,119.9,"Bueno"
"74",60.03,12.188,0.67884,0.22113,26.94,25.25,24.81,24.87,119.9,"Bueno"
"75",60.02,12.183,0.67903,0.22253,26.94,25.25,24.81,24.87,119.9,"Bueno"
"76",60.02,12.181,0.67875,0.22273,27,25.25,24.81,24.87,119.9,"Bueno"
